Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
233978,FAO Field Officer,11.61,104.88,Asia,Cambodia,Phnom Penh,SANGKAT KHMOUCH, KAHN SEN SOK, TRORPAING RAING THMEY VILLAGE,Exact,15/02/2018,16/02/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken, domestic, turkey,98,20,20,78
234457,OIE,20.31638889,86.61166667,Asia,India,Orissa,Jagatsinghpur,Exact,02/11/2018,03/07/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,1823,,0,1823,,,0,
234366,OIE,20.31638889,86.61166667,Asia,India,Orissa,Paradeep,Exact,02/11/2018,03/01/2018,Confirmed,Influenza - Avian,H5N1 HPAI,wild, house crow,,173,173,,,,,
233977,FAO Field Officer,11.28,105.42,Asia,Cambodia,Prey Veng,Prey Phdao Village, Sdao Koang, Ba Phnom,Centroid Admin2,02/11/2018,02/12/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,530,184,184,346,,
237454,National authorities,-4.055782,119.780416,Asia,Indonesia,Sulawesi Selatan,CORAWALI,Exact,02/06/2018,25/06/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,1016,,,,,
237453,National authorities,-4.055782,119.780416,Asia,Indonesia,Sulawesi Selatan,CORAWALI,Exact,02/05/2018,25/06/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,2003,,,,,
237452,National authorities,-5.35057,104.982834,Asia,Indonesia,Lampung,PRINGSEWU SELATAN,Exact,02/03/2018,25/06/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, quail,,,10000,,,,,
238861,OIE,23.704321,120.409792,Asia,Taiwan (Province of China),Taiwan Sheng,Huwei Township,Exact,31/01/2018,13/08/2018,Confirmed,Influenza - Avian,H5 HPAI,domestic, chicken,9530,,,9530,,,,
235171,National authorities,-5.348607,105.067882,Asia,Indonesia,Lampung,TEGALSARI,Exact,31/01/2018,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,250,,,,,
235170,National authorities,-5.385652,104.97535,Asia,Indonesia,Lampung,MARGODADI,Exact,31/01/2018,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,1750,,,,,
235174,National authorities,-7.474799,112.452367,Asia,Indonesia,Jawa Timur,GUNUNG GEDANGAN,Exact,23/01/2018,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,16,,,,,
233829,OIE,34.352865,62.204029,Asia,Afghanistan,Hirat,South of Injel,Exact,23/01/2018,02/06/2018,Confirmed,Influenza - Avian,H5 HPAI,domestic, unspecified bird,54000,4450,4450,49550,,,0,
235173,National authorities,-7.150904,112.005419,Asia,Indonesia,Jawa Timur,LAYI SIMBATAN,Exact,22/01/2018,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,210,,,,,
238860,OIE,22.452,120.5715,Asia,Taiwan (Province of China),Taiwan Sheng,Jiadong Township,Exact,01/12/2018,13/08/2018,Confirmed,Influenza - Avian,H5 HPAI,domestic, chicken,15463,,,15463,,,,
233807,FAO Field Officer,11.43,105.11,Asia,Cambodia,Kandal,Prekpul village, Banteay Deak commune,Centroid Admin2,01/05/2018,02/07/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,62,47,47,15,,,0
235172,National authorities,-7.254152,110.075966,Asia,Indonesia,Jawa Tengah,TRAJI,Exact,01/02/2018,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,1,,,,,
235169,National authorities,-7.819669,110.371085,Asia,Indonesia,Daerah Istimewa Yogyakarta,BRONTOKUSUMAN,Exact,19/12/2017,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, duck,,,1,,,,,
235168,National authorities,-7.914774,112.529751,Asia,Indonesia,Jawa Timur,TLEKUNG,Exact,18/12/2017,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, duck,,,44,,,,,
235167,National authorities,-7.441151,109.449396,Asia,Indonesia,Jawa Tengah,CIPAWON,Exact,12/09/2017,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,75,,,,,
235166,National authorities,-7.658506,110.668608,Asia,Indonesia,Jawa Tengah,KUNCEN,Exact,12/07/2017,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, duck,,,50,,,,,
235165,National authorities,-7.305221,109.357114,Asia,Indonesia,Jawa Tengah,LAMBUR,Exact,12/06/2017,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,16,,,,,
235164,National authorities,1.047737,114.054169,Asia,Indonesia,Kalimantan Timur,NOHA SILAT,Exact,12/02/2017,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, duck,,,4,,,,,
